0.178240746259680.000000500592000000000 1963-01-140000000000000.17824074
0.177662029862400.000000498968000000000 1963-01-150000000000000.17766202
0.178240746259680.000000500592000000000 1963-01-160000000000000.17824074
0.178240746259680.000000500592000000000 1963-01-170000000000000.17824074
0.178819447755810.000000503843000000000 1963-01-180000000000000.17939814
0.179398149251930.000000508719000000000 1963-01-210000000000000.18113425
0.179976850748060.000000506281000000000 1963-01-220000000000000.18026620
0.180555552244180.000000510344000000000 1963-01-230000000000000.18171297
0.181712970137590.000000524972000000001 1963-01-240000000000000.18692129
0.183449074625960.000000515220000000001 1963-01-250000000000000.18344907
0.184606477618210.000000526598000000000 1963-01-2800000000000000000.1875
0.186921298503870.000000526598000000000 1963-01-2900000000000000000.1875
00000000000.18750.000000526598000000000 1963-01-3000000000000000000.1875
0.186342597007750.000000524972000000000 1963-01-310000000000000.18692129
00000000000.18750.000000528223000000000 1963-02-010000000000000.18807870
0.189236104488370.000000531474000000000 1963-02-040000000000000.18923610
00000000000.18750.000000526598000000000 1963-02-0500000000000000000.1875
0.188657402992240.000000533099000000000 1963-02-060000000000000.18981482
0.189236104488370.000000533099000000000 1963-02-070000000000000.18981482
0.188657402992240.000000532286000000000 1963-02-080000000000000.18952547
0.189236104488370.000000531474000000000 1963-02-110000000000000.18923610
0.186342597007750.000000526598000000000 1963-02-1200000000000000000.1875
00000000000.18750.000000526598000000000 1963-02-1300000000000000000.1875
0.188078701496120.000000528223000000000 1963-02-140000000000000.18807870
0.188078701496120.000000528223000000000 1963-02-150000000000000.18807870
0.187789350748060.000000529848000000000 1963-02-180000000000000.18865740
0.186921298503870.000000528868000000000 1963-02-1900000000000000000.1875
00000000000.18750.000000528868000000000 1963-02-2000000000000000000.1875
00000000000.18750.000000531317000000000 1963-02-210000000000000.18836805
0.188078701496120.000000530500000000000 1963-02-250000000000000.18807870
0.188657402992240.000000535398000000000 1963-02-260000000000000.18981482
0.189236104488370.000000538662000000000 1963-02-270000000000000.19097222
0.189814820885650.000000535398000000000 1963-02-280000000000000.18981482
0.185185179114340.000000522339000000000 1963-03-010000000000000.18518517
0.184027776122090.000000523971000000000 1963-03-040000000000000.18576389
0.185763895511620.000000523971000000000 1963-03-050000000000000.18576389
0.184027776122090.000000519890000000000 1963-03-060000000000000.18431712
0.184027776122090.000000519074000000000 1963-03-070000000000000.18402777
0.183449074625960.000000517442000000000 1963-03-080000000000000.18344907
0.182870373129840.000000515810000000000 1963-03-110000000000000.18287037
0.184027776122090.000000519074000000000 1963-03-120000000000000.18402777
0.185763895511620.000000527236000000000 1963-03-130000000000000.18692129
0.185185179114340.000000523971000000000 1963-03-140000000000000.18576389
0.186342597007750.000000535398000000000 1963-03-150000000000000.18981482
0.188657402992240.000000537029000000000 1963-03-180000000000000.19039352
00000000000.18750.000000528868000000000 1963-03-1900000000000000000.1875
0.188657402992240.000000533765000000000 1963-03-200000000000000.18923610
0.188078701496120.000000530500000000000 1963-03-210000000000000.18807870
0.186921298503870.000000527236000000000 1963-03-220000000000000.18692129
0.185185179114340.000000522339000000000 1963-03-250000000000000.18518517
0.185763895511620.000000528868000000000 1963-03-2600000000000000000.1875
0.188657402992240.000000538662000000000 1963-03-270000000000000.19097222
0.190972223877900.000000538662000000000 1963-03-280000000000000.19097222
0.190393522381780.000000537029000000000 1963-03-290000000000000.19039352
0.190972223877900.000000538662000000000 1963-04-010000000000000.19097222
0.191261574625960.000000541927000000000 1963-04-020000000000000.19212962
0.191550925374030.000000541927000000000 1963-04-030000000000000.19212962
0.192129626870150.000000541927000000000 1963-04-040000000000000.19212962
0.191550925374030.000000540294000000000 1963-04-050000000000000.19155092
0.190972223877900.000000538662000000000 1963-04-080000000000000.19097222
0.190393522381780.000000540294000000000 1963-04-090000000000000.19155092
0.188657402992240.000000533765000000000 1963-04-100000000000000.18923610
0.188368052244180.000000532133000000000 1963-04-110000000000000.18865740
0.186342597007750.000000525604000000000 1963-04-150000000000000.18634259
00000000000.18750.000000528868000000000 1963-04-1600000000000000000.1875
0.184606477618210.000000520706000000000 1963-04-170000000000000.18460647
0.183449074625960.000000519074000000000 1963-04-180000000000000.18402777
0.182291671633720.000000522339000000000 1963-04-190000000000000.18518517
0.180555552244180.000000512545000000000 1963-04-220000000000000.18171297
0.182870373129840.000000525604000000002 1963-04-230000000000000.18634259
0.185185179114340.000000522339000000000 1963-04-240000000000000.18518517
0.184606477618210.000000528052000000000 1963-04-250000000000000.18721064
00000000000.18750.000000535398000000000 1963-04-260000000000000.18981482
0.189814820885650.000000545191000000000 1963-04-290000000000000.19328702
0.192708328366270.000000543559000000000 1963-04-300000000000000.19270832
0.190972223877900.000000538662000000000 1963-05-010000000000000.19097222
0.191840276122090.000000541111000000000 1963-05-020000000000000.19184027
00000000000.18750.000000535398000000000 1963-05-030000000000000.18981482
0.189814820885650.000000535398000000000 1963-05-060000000000000.18981482
0.189814820885650.000000537029000000000 1963-05-070000000000000.19039352
0.187789350748060.000000530500000000000 1963-05-080000000000000.18807870
0.188657402992240.000000538662000000001 1963-05-090000000000000.19097222
0.189236104488370.000000535398000000000 1963-05-100000000000000.18981482
0.189236104488370.000000535398000000000 1963-05-130000000000000.18981482
0.192129626870150.000000551720000000000 1963-05-140000000000000.19560185
0.195891201496120.000000566411000000000 1963-05-150000000000000.20081017
0.203703701496120.000000574573000000001 1963-05-160000000000000.20370370
0.201388895511620.000000584367000000000 1963-05-170000000000000.20717592
0.206018522381780.000000586815000000000 1963-05-200000000000000.20804397
0.206018522381780.000000584364000000000 1963-05-210000000000000.20659722
0.207175925374030.000000586001000000000 1963-05-220000000000000.20717592
0.206307873129840.000000583545000000000 1963-05-230000000000000.20630787
0.199074074625960.000000563084000000000 1963-05-240000000000000.19907407
0.195023149251930.000000551626000000000 1963-05-270000000000000.19502314
0.196759253740310.000000561447000000000 1963-05-280000000000000.19849537
0.199652776122090.000000566358000000000 1963-05-290000000000000.20023147
0.200810179114340.000000571268000000000 1963-05-310000000000000.20196759
0.201388895511620.000000569632000000000 1963-06-030000000000000.20138889
0.201967597007750.000000571268000000000 1963-06-040000000000000.20196759
0.201967597007750.000000571268000000000 1963-06-050000000000000.20196759
0.202546298503870.000000572906000000000 1963-06-060000000000000.20254629
0.201967597007750.000000574542000000000 1963-06-07000000000000000.203125
0.202546298503870.000000577816000000000 1963-06-100000000000000.20428240
0.204282402992240.000000577816000000000 1963-06-110000000000000.20428240
0.204282402992240.000000578634000000000 1963-06-120000000000000.20457175
0.203703701496120.000000582727000000000 1963-06-130000000000000.20601852
0.206886574625960.000000586819000000000 1963-06-140000000000000.20746527
0.206018522381780.000000582727000000000 1963-06-170000000000000.20601852
0.206597223877900.000000584364000000000 1963-06-180000000000000.20659722
0.207175925374030.000000586001000000000 1963-06-190000000000000.20717592
0.201967597007750.000000579453000000000 1963-06-200000000000000.20486110
0.206018522381780.000000586001000000000 1963-06-210000000000000.20717592
0.204861104488370.000000579453000000000 1963-06-240000000000000.20486110
0.203993052244180.000000576997000000000 1963-06-250000000000000.20399305
0.201388895511620.000000569632000000000 1963-06-260000000000000.20138889
0.197337970137590.000000558174000000000 1963-06-270000000000000.19733797
0.199074074625960.000000571268000000000 1963-06-280000000000000.20196759
0.199074074625960.000000563084000000000 1963-07-010000000000000.19907407
0.197916671633720.000000559810000000000 1963-07-020000000000000.19791667
0.197337970137590.000000561447000000000 1963-07-030000000000000.19849537
0.199942126870150.000000566358000000000 1963-07-050000000000000.20023147
0.199074074625960.000000569632000000000 1963-07-080000000000000.20138889
0.202546298503870.000000572906000000000 1963-07-090000000000000.20254629
0.201388895511620.000000569632000000000 1963-07-100000000000000.20138889
0.200810179114340.000000572906000000000 1963-07-110000000000000.20254629
0.200231477618210.000000566358000000000 1963-07-120000000000000.20023147
0.201967597007750.000000571268000000000 1963-07-150000000000000.20196759
0.200810179114340.000000572906000000000 1963-07-160000000000000.20254629
0.201388895511620.000000569632000000000 1963-07-170000000000000.20138889
0.200231477618210.000000566358000000000 1963-07-180000000000000.20023147
0.197916671633720.000000559810000000000 1963-07-190000000000000.19791667
0.193865746259680.000000548352000000000 1963-07-220000000000000.19386574
0.192708328366270.000000549989000000000 1963-07-230000000000000.19444444
0.195023149251930.000000551626000000000 1963-07-240000000000000.19502314
0.196759253740310.000000556537000000000 1963-07-250000000000000.19675925
0.195601850748060.000000553263000000000 1963-07-260000000000000.19560185
0.197337970137590.000000561447000000000 1963-07-290000000000000.19849537
0.200231477618210.000000571268000000000 1963-07-300000000000000.20196759
0.201388895511620.000000569632000000000 1963-07-310000000000000.20138889
0.200810179114340.000000567995000000000 1963-08-010000000000000.20081017
0.200810179114340.000000567995000000000 1963-08-020000000000000.20081017
0.200810179114340.000000569632000000000 1963-08-050000000000000.20138889
0.201388895511620.000000573724000000000 1963-08-060000000000000.20283564
0.203993052244180.000000586001000000000 1963-08-070000000000000.20717592
0.206597223877900.000000587637000000000 1963-08-080000000000000.20775462
0.208333328366270.000000613009000000001 1963-08-090000000000000.21672452
0.215277776122090.000000608916000000000 1963-08-120000000000000.21527777
0.213252320885650.000000605643000000000 1963-08-130000000000000.21412037
0.211805552244180.000000599096000000000 1963-08-140000000000000.21180555
0.210648149251930.000000600732000000000 1963-08-150000000000000.21238425
0.212962970137590.000000602369000000000 1963-08-160000000000000.21296297
0.209490746259680.000000592548000000000 1963-08-190000000000000.20949074
0.210069447755810.000000597476000000000 1963-08-200000000000000.21064814
0.209490746259680.000000594193000000000 1963-08-210000000000000.20949074
0.209490746259680.000000597476000000000 1963-08-220000000000000.21064814
0.210648149251930.000000600759000000000 1963-08-230000000000000.21180555
0.210648149251930.000000602400000000000 1963-08-260000000000000.21238425
0.212962970137590.000000613889000000000 1963-08-270000000000000.21643517
0.217013895511620.000000617173000000000 1963-08-280000000000000.21759259
0.217592597007750.000000618814000000000 1963-08-290000000000000.21817129
0.218171298503870.000000625380000000000 1963-08-300000000000000.22048610
0.220486104488370.000000627842000000000 1963-09-030000000000000.22135417
0000000000.218750.000000624559000000000 1963-09-040000000000000.22019675
0000000000.218750.000000620456000000000 1963-09-050000000000000000.21875
0.217013895511620.000000618814000000000 1963-09-060000000000000.21817129
0.217592597007750.000000620456000000000 1963-09-090000000000000000.21875
0000000000.218750.000000625380000000000 1963-09-100000000000000.22048610
0.222222223877900.000000638511000000000 1963-09-110000000000000.22511574
0.223668977618210.000000643436000000000 1963-09-120000000000000.22685185
0.224537029862400.000000636870000000000 1963-09-130000000000000.22453702
0.222222223877900.000000630304000000000 1963-09-160000000000000.22222222
0.222222223877900.000000630304000000000 1963-09-170000000000000.22222222
0.220486104488370.000000625380000000000 1963-09-180000000000000.22048610
0000000000.218750.000000630304000000000 1963-09-190000000000000.22222222
0.221354171633720.000000633587000000000 1963-09-200000000000000.22337962
0000000000.218750.000000620456000000000 1963-09-230000000000000000.21875
0.219328701496120.000000623739000000000 1963-09-240000000000000.21990740
0000000000.218750.000000620456000000000 1963-09-250000000000000000.21875
0.215856477618210.000000612249000000000 1963-09-260000000000000.21585647
0.212962970137590.000000607325000000000 1963-09-270000000000000.21412037
0.212962970137590.000000604042000000000 1963-09-300000000000000.21296297
0.213541671633720.000000613889000000000 1963-10-010000000000000.21643517
0.216435179114340.000000617173000000000 1963-10-020000000000000.21759259
0.217592597007750.000000617173000000000 1963-10-030000000000000.21759259
0.219328701496120.000000622097000000000 1963-10-040000000000000.21932870
0.217592597007750.000000617173000000000 1963-10-070000000000000.21759259
0.214120373129840.000000607325000000000 1963-10-080000000000000.21412037
0.209490746259680.000000594193000000000 1963-10-090000000000000.20949074
0.208912029862400.000000594193000000000 1963-10-100000000000000.20949074
0.210069447755810.000000610607000000001 1963-10-110000000000000.21527777
0.216145828366270.000000655746000000002 1963-10-140000000000000.23119212
