11.760000228881812.00973033905000000008 2008-01-0912.60000038113.5200004
13.800000190734814.19493103027000000017 2008-01-1014.06000041915.9799995
14.770000457763613.75078678131000000007 2008-01-1116.20000076215.4799995
14.949999809265113.59089374542000000003 2008-01-1415.69999980915.3000001
15.300000190734814.19493103027000000006 2008-01-1515.35000038115.9799995
14.829999923706014.21269702911000000006 2008-01-160000000000160000000016
14.680000305175713.49317836761000000004 2008-01-1716.10000038115.1899995
14.869999885559013.44876956939000000002 2008-01-1815.57999992315.1400003
13.699999809265113.19116306304000000004 2008-01-2213.69999980914.8500003
000000000000001414.19493103027000000003 2008-01-2314.21000003815.9799995
15.600000381469714.20381450653000000003 2008-01-2415.97999954215.9899997
15.560000419616714.39923954010000000003 2008-01-2500000000001616.2099990
15.909999847412114.35482406616000000003 2008-01-2816.20999908416.1599998
15.829999923706014.22158336639000000004 2008-01-2916.15999984716.0100002
15.920000076293914.34594345092000000004 2008-01-3015.94999980916.1499996
15.899999618530214.94110012054000000003 2008-01-3115.89999961816.8199996
16.440000534057616.46008110046000000006 2008-02-0116.79999923718.5300006
17.100000381469715.32306957244000000005 2008-02-0418.4400005340000017.25
16.819999694824215.12764453887000000003 2008-02-0516.89999961817.0300006
00000000000016.515.94487476348000000007 2008-02-060000000016.517.9500007
17.940000534057616.42454719543000000005 2008-02-0718.73999977118.4899997
17.989999771118116.15806007385000000005 2008-02-0818.03000068618.1900005
17.700000762939415.98928737640000000002 2008-02-1118.5900001520000000018
17.059999465942315.57179164886000000003 2008-02-1200000000001817.5300006
17.350000381469715.73168373107000000005 2008-02-1317.42000007617.7099990
16.809999465942315.14540386199000000004 2008-02-1417.89999961817.0499992
17.030000686645515.38524341583000000003 2008-02-1517.05999946517.3199996
16.489999771118114.89668464660000000004 2008-02-1917.62999916016.7700004
16.079999923706014.93221569061000000003 2008-02-20000000016.7516.8099994
15.810000419616714.39923954010000000002 2008-02-2116.98999977116.2099990
15.619999885559014.54137229919000000003 2008-02-2216.36000061016.3700008
15.399999618530214.34594345092000000003 2008-02-2516.39999961816.1499996
00000000000015.514.13275241851000000002 2008-02-2615.94999980915.9099998
0000000000014.7513.32440471649000000005 2008-02-2715.3599996560000000015
13.909999847412112.51605796813000000003 2008-02-2815.14000034314.0900001
13.239999771118111.85872173309000000004 2008-02-2914.31999969413.3500003
00000000000012.511.53005123138000000004 2008-03-0313.27000045712.9799995
12.510000228881811.67218017578000000003 2008-03-0412.85000038113.1400003
12.869999885559012.72924804687000000007 2008-03-0513.18999958014.3299999
13.340000152587811.99196434020000000002 2008-03-0614.14999961800000013.5
12.710000038146911.45010662078000000003 2008-03-0713.13000011412.8900003
11.949999809265110.64175987243000000002 2008-03-1012.92000007611.9799995
11.640000343322710.75723648071000000003 2008-03-1112.15999984712.1099996
10.05000019073488.998414993286000000008 2008-03-1211.57999992310.1300001
09.56000041961679.344850540161000000006 2008-03-139.819999694810.5200004
9.380000114440918.527619361877000000006 2008-03-1410.9300003059.60000038
8.609999656677248.198948860168000000006 2008-03-179.40999984749.22999954
8.899999618530278.962882041931000000007 2008-03-189.010000228810.0900001
10.02000045776369.264904975891000000006 2008-03-1910.13000011410.4300003
9.920000076293948.882935523986000000008 2008-03-2010.6700000760000000010
9.869999885559088.891819000244000000008 2008-03-2410.14000034310.0100002
9.899999618530278.856290817260000000004 2008-03-2510.1099996569.97000026
8.680000305175787.763688087463000000008 2008-03-2610.0399999618.73999977
8.340000152587897.417252540588000000010 2008-03-278.84000015258.35000038
7.940000057220457.648206710815000000017 2008-03-288.44999980928.60999965
8.149999618530277.639325141906000000017 2008-03-318.67000007628.60000038
8.760000228881838.119005203247000000009 2008-04-018.93999958039.14000034
8.699999809265137.816984176635000000005 2008-04-029.01000022888.80000019
8.520000457763677.825867652893000000003 2008-04-038.77000045778.81000041
8.590000152587897.772569179534000000005 2008-04-048.84000015250000008.75
8.789999961853028.252249717712000000005 2008-04-079.10000038149.28999996
9.100000381469728.296661376953000000005 2008-04-089.35999965669.34000015
8.430000305175787.914695262908000000008 2008-04-099.38000011448.90999984
8.760000228881838.660864830017000000007 2008-04-109.06000041960000009.75
9.899999618530278.891819000244000000010 2008-04-1110.27999973210.0100002
10.14999961853029.309316635131000000009 2008-04-1410.68999958010.4799995
8.840000152587898.136769294738000000032 2008-04-15000000010.759.15999984
8.590000152587897.657091617584000000020 2008-04-169.14999961858.61999988
8.399999618530277.594910621643000000006 2008-04-178.64000034338.55000019
8.659999847412117.772569179534000000008 2008-04-188.80000019070000008.75
8.119999885559087.284008502960000000006 2008-04-218.60999965668.19999980
6.699999809265136.040397167205000000020 2008-04-220000000000086.80000019
00000000000006.55.827205657958000000021 2008-04-236.92999982836.55999994
6.570000171661376.449013233184000000019 2008-04-246.92999982837.26000022
6.710000038146976.226939201354000000011 2008-04-257.11000013357.01000022
6.820000171661376.386832237243000000008 2008-04-286.94999980927.19000005
7.349999904632567.319540977478000000018 2008-04-297.34999990468.23999977
8.039999961853027.559377670288000000015 2008-04-308.22000026708.51000022
8.569999694824217.843633651733000000015 2008-05-018.64000034338.82999992
8.149999618530277.550495147705000000008 2008-05-028.909999847400000008.5
7.960000038146977.204061508178000000007 2008-05-058.38000011448.10999965
7.650000095367436.990871429443000000009 2008-05-067.92000007627.86999988
7.530000209808356.813213348388000000007 2008-05-077.90000009537.67000007
7.460000038146976.724384784698000000009 2008-05-087.59999990467.57000017
7.269999980926516.795446872711000000011 2008-05-097.30999994277.65000009
7.380000114440916.608904838562000000007 2008-05-127.98000001907.44000005
0000000000007.256.564489364624000000007 2008-05-137.59000015257.38999986
7.429999828338627.061935424804000000008 2008-05-147.46000003817.94999980
7.599999904632566.973104953765000000007 2008-05-157.84999990467.84999990
7.440000057220456.662202358245000000008 2008-05-167.789999961800000007.5
7.070000171661376.351298809051000000008 2008-05-197.48000001907.15000009
6.679999828338626.129227161407000000007 2008-05-207.09999990466.90000009
5.690000057220455.125453948974000000025 2008-05-216.80000019075.76999998
5.739999771118165.125453948974000000013 2008-05-226.01000022885.76999998
5.369999885559084.885615348815000000013 2008-05-235.650000095300000005.5
5.530000209808355.258699417114000000012 2008-05-275.71000003815.92000007
5.570000171661375.018858432769000000012 2008-05-286.21999979015.65000009
5.530000209808355.454123020172000000009 2008-05-295.78000020986.13999986
5.849999904632565.463007450103000000006 2008-05-306.17000007626.15000009
0000000000005.755.196518898010000000009 2008-06-02000000006.255.84999990
5.869999885559085.418592453002000000008 2008-06-035.98999977116.09999990
00000000000000065.418592453002000000014 2008-06-046.11000013356.09999990
6.300000190734866.075930118560000000020 2008-06-056.30000019076.84000015
6.139999866485595.596251010894000000016 2008-06-066.38000011446.30000019
5.920000076293945.409708499908000000012 2008-06-096.40000009536.09000015
5.829999923706055.267581462860000000010 2008-06-105.92999982835.92999982
5.340000152587894.761253833770000000011 2008-06-115.84999990465.36000013
4.800000190734864.565830230712000000019 2008-06-125.57999992375.13999986
5.199999809265134.725723743438000000014 2008-06-135.34000015255.32000017
5.059999942779544.938913345336000000013 2008-06-165.19000005725.55999994
5.539999961853025.089922904968000000008 2008-06-17000000005.755.73000001
5.210000038146974.841200828552000000009 2008-06-180000000005.55.44999980
5.440000057220455.667313575744000000013 2008-06-195.46999979016.38000011
5.510000228881835.045507907867000000013 2008-06-205.92999982835.67999982
4.949999809265134.441467761993000000018 2008-06-235.88999986640000000005
4.840000152587894.672425270080000000016 2008-06-245.09999990465.26000022
5.269999980926514.716839790344000000014 2008-06-255.48000001905.30999994
5.050000190734864.850083827972000000022 2008-06-265.05000019075.46000003
5.219999790191654.903381347656000000014 2008-06-275.30999994275.51999998
5.199999809265135.063274860382000000010 2008-06-305.42000007625.69999980
5.210000038146974.912264347076000000012 2008-07-015.46999979015.53000020
4.849999904632564.352638244628000000012 2008-07-025.51999998094.90000009
4.710000038146974.397053718566000000006 2008-07-030000000000054.94999980
4.719999790191654.334873199462000000015 2008-07-075.34000015254.88000011
5.059999942779545.187634944915000000015 2008-07-085.15999984745.84000015
5.199999809265134.690190792083000000015 2008-07-095.73999977115.28000020
4.960000038146974.610244274139000000010 2008-07-105.21999979015.19000005
4.590000152587894.379288196563000000014 2008-07-114.90000009534.92999982
4.639999866485594.121683120727000000008 2008-07-145.28000020984.63999986
00000000000000044.148330688476000000015 2008-07-154.59999990464.67000007
0000000000004.755.249815940856000000034 2008-07-164.76000022885.90999984
5.519999980926516.049281120300000000022 2008-07-176.15000009536.80999994
6.469999790191656.155875682830000000014 2008-07-186.76000022886.92999982
00000000000006.55.827205657958000000010 2008-07-216.76999998096.55999994
0000000000006.756.848744392395000000038 2008-07-226.78000020987.71000003
7.409999847412107.639325141906000000034 2008-07-238.10000038148.60000038
6.449999809265136.040397167205000000034 2008-07-248.15999984746.80000019
7.039999961853026.520076274871000000022 2008-07-25000000007.257.34000015
6.699999809265136.129227161407000000015 2008-07-287.19000005726.90000009
7.039999961853027.026402473449000000021 2008-07-297.28999996187.90999984
00000000000000076.386832237243000000024 2008-07-308.10999965667.19000005
7.019999980926516.697733879089000000015 2008-07-317.09999990467.53999996
7.159999847412106.839861392974000000012 2008-08-017.80999994277.69999980
7.409999847412107.212944507598000000018 2008-08-047.80000019078.11999988
8.149999618530277.728156089782000000022 2008-08-058.56000041968.69999980
8.010000228881837.754804134368000000018 2008-08-068.59000015258.72999954
8.130000114440917.808102607727000000015 2008-08-078.18000030518.78999996
00000000000000098.101241111755000000019 2008-08-089.05000019079.11999988
00000000000000098.296661376953000000027 2008-08-119.14000034339.34000015
9.170000076293948.207833290100000000025 2008-08-129.35000038149.23999977
8.210000038146977.408370971679000000019 2008-08-139.11999988558.34000015
8.409999847412117.834750652313000000020 2008-08-148.56000041968.81999969
9.079999923706058.358844757080000000015 2008-08-159.27000045779.40999984
9.100000381469728.349961280822000000014 2008-08-18000000009.259.39999961
08.43999958038337.612678050994000000013 2008-08-199.40999984748.56999969
7.690000057220457.346188545227000000018 2008-08-208.26000022888.27000045
7.420000076293947.017519950866000000014 2008-08-217.55999994277.90000009
08.18999958038337.665976047515000000010 2008-08-22000000008.258.63000011
08.31000041961677.435015678405000000012 2008-08-258.51000022888.36999988
7.769999980926517.053051471710000000010 2008-08-268.30000019077.94000005
6.920000076293946.502310752868000000027 2008-08-277.59999990467.32000017
7.170000076293947.275125503540000000016 2008-08-287.17000007628.18999958
7.710000038146977.221827507019000000010 2008-08-297.88000011448.13000011
9.069999694824218.145650863647000000031 2008-09-029.31999969489.17000007
8.970000267028808.092353820800000000018 2008-09-039.36999988559.10999965
8.920000076293947.959113597869000000017 2008-09-049.02999973298.96000003
08.81000041961677.825867652893000000015 2008-09-058.84000015258.81000041
6.460000038146977.630442142486000000027 2008-09-088.78999996188.59000015
8.210000038146977.310657024383000000016 2008-09-098.98999977118.22999954
7.590000152587896.990871429443000000015 2008-09-108.10999965667.86999988
7.389999866485597.186295509338000000014 2008-09-117.44000005728.09000015
7.650000095367437.221827507019000000012 2008-09-127.98999977118.13000011
7.969999790191657.150763988494000000027 2008-09-158.35000038148.05000019
8.220000267028808.829635620117000000047 2008-09-168.23999977119.93999958
8.229999542236327.994643688201000000021 2008-09-179.55000019070000000009
8.369999885559088.394373893737000000023 2008-09-188.56000041969.44999980
8.760000228881838.589799880981000000017 2008-09-199.39999961859.67000007
8.079999923706057.728156089782000000021 2008-09-229.35000038148.69999980
8.680000305175787.861400604248000000016 2008-09-238.94999980928.85000038
8.029999732971197.132997989654000000015 2008-09-248.69999980928.02999973
08.06000041961677.159647464752000000014 2008-09-258.43999958038.06000041
7.840000152587897.061935424804000000012 2008-09-268.06000041967.94999980
7.170000076293946.511191844940000000014 2008-09-298.31999969487.32999992
6.760000228881836.617789268493000000011 2008-09-300000000007.57.44999980
7.449999809265137.594910621643000000017 2008-10-017.63999986648.55000019
7.519999980926517.026402473449000000019 2008-10-028.97999954227.90999984
7.519999980926516.981988430023000000012 2008-10-038.46000003817.86000013
0000000000006.756.431246280670000000014 2008-10-067.73999977117.23999977
5.610000133514405.072158336639000000020 2008-10-077.46999979015.71000003
5.099999904632565.009976863861000000014 2008-10-085.55999994275.63999986
5.539999961853025.027740955352000000018 2008-10-096.09000015255.65999984
5.280000209808355.356412410736000000023 2008-10-105.61000013356.03000020
6.090000152587896.040397167205000000013 2008-10-136.55999994276.80000019
6.630000114440916.528958797454000000016 2008-10-147.13000011447.34999990
6.929999828338626.608904838562000000017 2008-10-157.05000019077.44000005
7.449999809265137.852516651153000000024 2008-10-167.63000011448.84000015
8.289999961853028.163418769836000000021 2008-10-178.34000015259.18999958
8.590000152587898.358844757080000000014 2008-10-208.89999961859.40999984
9.260000228881838.669746398925000000020 2008-10-219.60000038149.76000022
8.600000381469728.820755958557000000023 2008-10-229.90999984749.93000030
08.43999958038337.816984176635000000014 2008-10-239.46000003818.80000019
7.840000152587897.381721973419000000014 2008-10-240000000000088.31000041
7.510000228881836.804328918457000000017 2008-10-278.56000041967.65999984
7.199999809265137.248477458953000000015 2008-10-288.15999984748.15999984
0000000000007.757.097465515136000000021 2008-10-298.03999996187.98999977
8.479999542236328.483204841613000000019 2008-10-308.76000022889.55000019
9.399999618530279.753464698791000000036 2008-10-319.859999656610.9799995
10.989999771118110.23314380645000000016 2008-11-0311.14000034311.5200004
10.029999732971110.01995372772000000024 2008-11-0411.07999992311.2799997
10.27999973297119.309316635131000000017 2008-11-0511.14999961810.4799995
9.399999618530278.456554412841000000013 2008-11-06000000010.259.52000045
