33.020000457763633.13000106811000000011 2016-01-0733.15000152533.1300010
32.630001068115232.68999862670000000007 2016-01-0833.45999908432.6899986
32.470001220703133.04000091552000000008 2016-01-1133.02000045733.0400009
32.659999847412133.08000183105000000007 2016-01-1233.34999847433.0800018
31.969999313354432.11999893188000000008 2016-01-1333.27999877932.1199989
31.704999923706032.86999893188000000007 2016-01-1432.15000152532.8699989
31.620000839233432.31000137329000000012 2016-01-1531.62000083932.3100013
31.930000305175732.20000076293000000006 2016-01-1932.75999832132.2000007
30.520000457763631.20000076293000000013 2016-01-2031.43000030531.2000007
30.899999618530231.20000076293000000009 2016-01-2131.61000061031.2000007
31.540000915527331.69000053405000000009 2016-01-2231.64999961831.6900005
31.350000381469731.46999931335000000007 2016-01-2531.97999954231.4699993
31.389999389648431.96999931335000000008 2016-01-2631.48999977131.9699993
31.379999160766631.59000015258000000012 2016-01-2731.95999908431.5900001
33.349998474121034.24000167846000000020 2016-01-2833.63000106834.2400016
34.360000610351536.13999938964000000021 2016-01-2934.49000167836.1399993
35.590000152587837.08000183105000000017 2016-02-0135.65000152537.0800018
36.439998626708936.83000183105000000017 2016-02-0236.52999877936.8300018
36.069999694824237.00999832153000000014 2016-02-0336.86999893137.0099983
36.540000915527337.16999816894000000010 2016-02-0436.65999984737.1699981
34.819999694824235.06999969482000000016 2016-02-0537.15999984735.0699996
31.979999542236333.61000061035000000020 2016-02-0800000000003433.6100006
31.639999389648432.70000076293000000016 2016-02-0932.79999923732.7000007
32.819999694824232.90000152587000000008 2016-02-1033.61999893132.9000015
32.009998321533233.52000045776000000013 2016-02-1132.11999893133.5200004
33.810001373291034.29999923706000000009 2016-02-1233.97000122034.2999992
34.479999542236335.45999908447000000009 2016-02-1634.65000152535.4599990
35.810001373291036.36000061035000000012 2016-02-1735.97999954236.3600006
35.659999847412136.31000137329000000009 2016-02-1836.40999984736.3100013
35.610000610351535.75999832153000000009 2016-02-1900000000003635.7599983
35.819999694824200000000000036000000010 2016-02-2236.4500007620000000036
35.020000457763635.47999954223000000008 2016-02-2335.72000122035.4799995
34.860000610351536.47000122070000000008 2016-02-2435.22000122036.4700012
36.180000305175736.74000167846000000005 2016-02-2536.66999816836.7400016
36.369998931884737.49000167846000000008 2016-02-2636.72999954237.4900016
37.450000762939438.13999938964000000023 2016-02-2937.47000122038.1399993
