0.092284843325610.035370361059000000000 1962-03-270.09290838980.09228484
0.091349519789210.035131372511000000000 1962-03-280.09197306630.09166129
0.092284843325610.035728845745000000000 1962-03-290.09228484330.09322015
0.092596612870690.035728845745000000000 1962-03-300.09322015940.09322015
0.092284843325610.035370361059000000000 1962-04-020.09322015940.09228484
0.091661296784870.035131372511000000000 1962-04-030.09228484330.09166129
0.092284843325610.035370361059000000000 1962-04-040.09228484330.09228484
0.091661296784870.035131372511000000000 1962-04-050.09228484330.09166129
0.092596612870690.035489872097000000000 1962-04-060.09259661280.09259661
0.092596612870690.035609357059000000000 1962-04-090.09259661280.09290838
0.092596612870690.035489872097000000000 1962-04-100.09290838980.09259661
0.091661296784870.035131372511000000000 1962-04-110.09259661280.09166129
0.087296470999710.033458467572000000000 1962-04-120.09010242670.08729647
0.084802284836760.033219441771000000001 1962-04-130.08729647090.08667292
0.086984694004050.033697430044000000000 1962-04-160.08698469400.08792001
0.088855333626270.034414410591000000000 1962-04-170.08885533360.08979065
0.090414203703400.034892372786000000000 1962-04-180.09041420370.09103775
0.091037750244140.034892372786000000000 1962-04-190.09103775020.09103775
0.092284843325610.035370361059000000000 1962-04-230.09228484330.09228484
0.092596612870690.035848334431000000000 1962-04-240.09259661280.09353192
0.093220159411430.035728845745000000000 1962-04-250.09353192890.09322015
0.091037750244140.034892372786000000000 1962-04-260.09290838980.09103775
0.089167110621920.034175414592000000000 1962-04-270.09103775020.08916711
0.085737608373160.032860990613000000000 1962-04-300.08760824050.08573760
0.085425831377500.033219441771000000000 1962-05-010.08573760830.08667292
0.086049377918240.033458467572000000000 1962-05-020.08667292440.08729647
0.086361147463320.033219441771000000000 1962-05-030.08729647090.08667292
0.086672924458980.033219441771000000000 1962-05-040.08667292440.08667292
0.085425831377500.032741483300000000000 1962-05-070.08604937790.08542583
0.083555191755290.032024495303000000000 1962-05-080.08542583130.08355519
0.080437459051600.031068557873000000000 1962-05-090.08230809860.08106100
0.079813912510870.030590578913000000000 1962-05-100.08043745900.07981391
0.076072640717020.029873620718000000000 1962-05-110.07981391250.07794328
0.077943280339240.031546540558000000000 1962-05-140.07794328030.08230809
0.082308098673820.031785525381000000000 1962-05-150.08230809860.08293164
0.080437459051600.030829565599000000000 1962-05-160.08230809860.08043745
0.078566826879970.030351597815000000000 1962-05-170.08043745900.07919036
0.079190365970130.030590578913000000000 1962-05-180.07919036590.07981391
0.079190365970130.030590578913000000000 1962-05-210.07981391250.07981391
0.079813912510870.030590578913000000000 1962-05-220.07981391250.07981391
0.076072640717020.029156651347000000000 1962-05-230.07981391250.07607264
0.076696187257760.029395639896000000000 1962-05-240.07669618720.07669618
0.077631503343580.029873620718000000001 1962-05-250.07763150330.07794328
0.077319733798500.029634617269000000003 1962-05-280.07794328030.07731973
0.070772498846050.027483733370000000004 1962-05-290.07420200100.07170781
0.079813912510870.030590578913000000002 1962-05-310.07981391250.07981391
0.077943280339240.030590578913000000000 1962-06-010.07981391250.07981391
0.074825547635550.028678681701000000000 1962-06-040.07950214290.07482554
0.074202001094810.029515137895000000001 1962-06-050.07482554760.07700795
