0.083333335816860.064787998795000000049 1990-08-290000.085937500.0859375
0.084201388061040.064787998795000000045 1990-08-300000.085937500.0859375
00000000.08593750.064787998795000000012 1990-08-310000.085937500.0859375
0.085069447755810.064787998795000000026 1990-09-040000.085937500.0859375
00000000.08593750.065442405641000000036 1990-09-050.08767361190.08680555
0.083333335816860.063479155302000000037 1990-09-060000.08593750.08420138
0.084201388061040.065442405641000000016 1990-09-070.08506944770.08680555
0.085069447755810.064787998795000000040 1990-09-100.086805552200.0859375
00000000.08593750.064787998795000000011 1990-09-110000.085937500.0859375
00000000.08593750.065442405641000000013 1990-09-120000.08593750.08680555
00000000.08593750.064787998795000000020 1990-09-130.087673611900.0859375
00000000.08593750.064787998795000000016 1990-09-140000.085937500.0859375
00000000.08593750.068060114979000000089 1990-09-170.08680555220.09027777
0.088541664183130.070023387670000000033 1990-09-180.09027777610.09288194
0.087673611938950.066751278936000000074 1990-09-19000000.093750.08854166
0.087673611938950.066751278936000000075 1990-09-200.08767361190.08854166
0.085069447755810.064787998795000000060 1990-09-210.088541664100.0859375
0.082465276122090.063479155302000000096 1990-09-240.08420138800.08420138
0.082465276122090.064133562147000000115 1990-09-250.08246527610.08506944
0.082465276122090.062170315533000000064 1990-09-260000.08593750.08246527
0.077256947755810.059225387871000000074 1990-09-270.08333333580.07855902
0.075520835816860.058898180723000000155 1990-09-280.0772569477000.078125
000000000.0781250.063479155302000000089 1990-10-0100000.0781250.08420138
0.082465276122090.062824726104000000048 1990-10-020.08680555220.08333333
0.080729164183130.060861464589000000061 1990-10-030.08246527610.08072916
0.080729164183130.062824726104000000023 1990-10-040.08072916410.08333333
0.079861111938950.061515882611000000043 1990-10-050.07986111190.08159722
0.082465276122090.062497500330000000010 1990-10-080.08506944770.08289930
0.075520835816860.058243770152000000115 1990-10-090.08246527610.07725694
0.068576388061040.053662780672000000113 1990-10-100.07291666410.07118055
0.069444447755810.053662780672000000070 1990-10-110000.07031250.07118055
0.072048611938950.056934911757000000041 1990-10-120.07378472380.07552083
0.074652776122090.056607689708000000059 1990-10-1500000.0781250.07508680
0.077256947755810.060207027941000000061 1990-10-160.07725694770.07986111
0.079861111938950.063479155302000000050 1990-10-170.08159722380.08420138
0.085069447755810.069368951022000000121 1990-10-180000.08593750.09201388
