00000000.82031250.000577493046000000001 1973-05-030000.82031250.84114581
0.841145813465110.000582856708000000002 1973-05-040.84114581340.84895831
0.841145813465110.000582856708000000001 1973-05-070.84895831340.84895831
0.841145813465110.000582856708000000001 1973-05-080.84895831340.84895831
0.848958313465110.000582856708000000002 1973-05-090.84895831340.84895831
0.841145813465110.000582856708000000001 1973-05-100.84895831340.84895831
0.841145813465110.000582856708000000000 1973-05-110.84895831340.84895831
0.841145813465110.000577493046000000000 1973-05-140.84895831340.84114581
0.830729186534880.000582856708000000002 1973-05-150.84114581340.84895831
0.841145813465110.000577493046000000000 1973-05-160.84895831340.84114581
0.841145813465110.000577493046000000000 1973-05-170.84114581340.84114581
00000000.82031250.000570341653000000004 1973-05-180.84114581340.83072918
00000000.82031250.000570341653000000002 1973-05-210.83072918650.83072918
0.830729186534880.000570341653000000001 1973-05-220.83072918650.83072918
0.830729186534880.000577493046000000001 1973-05-230.83072918650.84114581
0.830729186534880.000590008392000000001 1973-05-240.8411458134000.859375
000000000.8593750.000604311586000000002 1973-05-2500000.8593750.88020831
0.880208313465110.000611462630000000001 1973-05-290.8802083134000.890625
000000000.8593750.000606579182000000001 1973-05-3000000.8906250.88020831
0.869791686534880.000599401071000000001 1973-05-310.88020831340.86979168
000000000.8593750.000592222844000000002 1973-06-010.8697916865000.859375
0.830729186534880.000579660583000000001 1973-06-0400000.8593750.84114581
0.841145813465110.000599401071000000001 1973-06-050.84114581340.86979168
0.880208313465110.000606579182000000004 1973-06-060.88020831340.88020831
0.880208313465110.000626320543000000002 1973-06-070.88020831340.90885418
0.901041686534880.000626320543000000002 1973-06-080.90885418650.90885418
0.908854186534880.000640677055000000002 1973-06-110.908854186500.9296875
0.919270813465110.000633498886000000001 1973-06-120000.92968750.91927081
00000000.92968750.000640677055000000003 1973-06-130000.929687500.9296875
0.908854186534880.000633498886000000003 1973-06-140000.92968750.91927081
0.908854186534880.000633498886000000001 1973-06-150.91927081340.91927081
0.908854186534880.000633498886000000002 1973-06-180.91927081340.91927081
0.908854186534880.000633498886000000002 1973-06-190.91927081340.91927081
0.919270813465110.000633498886000000001 1973-06-200.91927081340.91927081
0.908854186534880.000633498886000000001 1973-06-210.91927081340.91927081
0.908854186534880.000633498886000000001 1973-06-220.91927081340.91927081
0.908854186534880.000633498886000000000 1973-06-250.91927081340.91927081
0.919270813465110.000640677055000000002 1973-06-260.919270813400.9296875
00000000.92968750.000655034498000000004 1973-06-270000.92968750.95052081
00000000.96093750.000674775044000000008 1973-06-280000.96093750.97916668
00000000.96093750.000667596526000000003 1973-06-290.97916668650000.96875
00000000.96093750.000662212551000000001 1973-07-02000000.9687500.9609375
0.940104186534880.000647856038000000001 1973-07-030000.96093750.94010418
00000000.92968750.000647856038000000002 1973-07-050.94010418650.94010418
00000000.92968750.000647856038000000001 1973-07-060.94010418650.94010418
00000000.92968750.000640677055000000001 1973-07-090000.929687500.9296875
0.950520813465110.000662212551000000002 1973-07-100.950520813400.9609375
0000000000.968750.000689131440000000003 1973-07-11000000.968750000000001
0000000000.968750.000689131440000000001 1973-07-120000000000010000000001
0.979166686534880.000681953621000000001 1973-07-130000000000010.98958331
0.979166686534880.000689131440000000001 1973-07-160.98958331340000000001
00000000000000010.000696310482000000003 1973-07-170000000000011.01041662
1.010416626930230.000710667460000000001 1973-07-181.01041662690001.03125
1.020833373069760.000716051552000000002 1973-07-19000001.0312501.0390625
0000000001.031250.000723229895000000003 1973-07-200001.03906251.04947912
1.049479126930230.000737586582000000004 1973-07-231.049479126901.0703125
00000001.03906250.000737586582000000003 1973-07-240001.070312501.0703125
00000001.07031250.000751943502000000002 1973-07-250001.07031251.09114587
00000001.07031250.000737586582000000003 1973-07-261.091145873001.0703125
0000000001.031250.000730407948000000002 1973-07-271.05989587301.05989587
1.020833373069760.000716051552000000002 1973-07-300001.039062501.0390625
0000000001.031250.000710667460000000001 1973-07-310001.03906250001.03125
1.020833373069760.000710667460000000001 1973-08-01000001.031250001.03125
1.020833373069760.000703489058000000002 1973-08-02000001.031251.02083337
1.020833373069760.000703489058000000002 1973-08-031.02083337301.02083337
1.020833373069760.000710667460000000001 1973-08-061.02083337300001.03125
0000000001.031250.000710667460000000002 1973-08-07000001.031250001.03125
0000000001.031250.000716051552000000002 1973-08-08000001.0312501.0390625
00000001.03906250.000716051552000000002 1973-08-090001.039062501.0390625
0000000001.031250.000710667460000000002 1973-08-100001.03906250001.03125
1.010416626930230.000703489058000000001 1973-08-13000001.031251.02083337
0.989583313465110.000681953621000000001 1973-08-141.02083337300.98958331
0.950520813465110.000667596526000000003 1973-08-150.98958331340000.96875
0.908854186534880.000633498886000000003 1973-08-160000.96093750.91927081
0.908854186534880.000626320543000000001 1973-08-170.91927081340.90885418
0.901041686534880.000626320543000000001 1973-08-200.90885418650.90885418
0.908854186534880.000626320543000000001 1973-08-210.90885418650.90885418
0.901041686534880.000626320543000000002 1973-08-220.90885418650.90885418
0.919270813465110.000640677055000000002 1973-08-230.919270813400.9296875
0.919270813465110.000633498886000000001 1973-08-240000.92968750.91927081
0.919270813465110.000647856038000000001 1973-08-270.91927081340.94010418
00000000.92968750.000650158850000000001 1973-08-280.94010418650.94010418
0.950520813465110.000669969478000000002 1973-08-290.95052081340000.96875
0.950520813465110.000657362572000000001 1973-08-30000000.968750.95052081
0.950520813465110.000669969478000000000 1973-08-310.95052081340000.96875
0.940104186534880.000657362572000000001 1973-09-04000000.968750.95052081
0.940104186534880.000650158850000000001 1973-09-050.95052081340.94010418
0.940104186534880.000650158850000000001 1973-09-060.94010418650.94010418
0.919270813465110.000635751173000000001 1973-09-070.94010418650.91927081
0.901041686534880.000628546753000000001 1973-09-100.91927081340.90885418
000000000.8906250.000615939265000000002 1973-09-110.9010416865000.890625
0.880208313465110.000615939265000000001 1973-09-1200000.890625000.890625
000000000.8906250.000623143976000000001 1973-09-1300000.8906250.90104168
000000000.8906250.000635751173000000001 1973-09-140.90104168650.91927081
0.919270813465110.000642954837000000001 1973-09-170.919270813400.9296875
0.919270813465110.000635751173000000001 1973-09-180000.92968750.91927081
0.919270813465110.000657362572000000001 1973-09-190.91927081340.95052081
0.940104186534880.000657362572000000001 1973-09-200.95052081340.95052081
00000000.92968750.000650158850000000001 1973-09-210.95052081340.94010418
00000000.92968750.000650158850000000001 1973-09-240.94010418650.94010418
00000000.92968750.000642954837000000001 1973-09-250.940104186500.9296875
00000000.92968750.000650158850000000002 1973-09-260000.92968750.94010418
00000000.92968750.000642954837000000001 1973-09-270.940104186500.9296875
0.919270813465110.000642954837000000001 1973-09-280000.929687500.9296875
0.908854186534880.000642954837000000001 1973-10-010000.929687500.9296875
00000000.92968750.000650158850000000001 1973-10-020000.92968750.94010418
00000000.92968750.000642954837000000002 1973-10-030.940104186500.9296875
0.919270813465110.000635751173000000003 1973-10-040000.92968750.91927081
0.901041686534880.000635751173000000001 1973-10-050.91927081340.91927081
0.908854186534880.000642954837000000001 1973-10-080.919270813400.9296875
0.919270813465110.000650158850000000001 1973-10-090000.92968750.94010418
00000000.92968750.000642954837000000002 1973-10-100.940104186500.9296875
00000000.92968750.000664566876000000001 1973-10-110000.929687500.9609375
00000000.96093750.000669969478000000001 1973-10-120000.96093750000.96875
0.950520813465110.000664566876000000001 1973-10-150000.960937500.9609375
0.950520813465110.000669969478000000002 1973-10-160000.96093750000.96875
0000000000.968750.000684377446000000002 1973-10-17000000.968750.98958331
0.989583313465110.000684377446000000001 1973-10-180.98958331340.98958331
0.989583313465110.000698785646000000002 1973-10-190.98958331341.01041662
00000000000000010.000691581342000000000 1973-10-221.01041662690000000001
0.989583313465110.000705989485000000002 1973-10-230000000000011.02083337
1.010416626930230.000718596682000000001 1973-10-241.020833373001.0390625
1.020833373069760.000718596682000000002 1973-10-250001.039062501.0390625
00000001.03906250.000725800695000000003 1973-10-260001.03906251.04947912
00000001.03906250.000725800695000000001 1973-10-291.04947912691.04947912
1.020833373069760.000705989485000000002 1973-10-300001.03906251.02083337
1.010416626930230.000705989485000000001 1973-10-311.02083337301.02083337
0.979166686534880.000677173666000000006 1973-11-011.01041662690.97916668
0000000000.968750.000669969478000000001 1973-11-020.97916668650000.96875
00000000.96093750.000664566876000000000 1973-11-05000000.9687500.9609375
0.950520813465110.000664566876000000001 1973-11-060000.960937500.9609375
0.950520813465110.000657362572000000001 1973-11-070000.96093750.95052081
0.940104186534880.000657362572000000004 1973-11-080.95052081340.95052081
00000000.92968750.000642954837000000000 1973-11-090.950520813400.9296875
0.919270813465110.000635751173000000000 1973-11-120000.92968750.91927081
0.908854186534880.000642954837000000001 1973-11-130.919270813400.9296875
00000000.92968750.000642954837000000001 1973-11-140000.929687500.9296875
00000000.92968750.000657362572000000001 1973-11-150000.92968750.95052081
0.950520813465110.000669969478000000002 1973-11-160.95052081340000.96875
00000000.92968750.000642954837000000000 1973-11-19000000.9687500.9296875
0.919270813465110.000642954837000000000 1973-11-200000.929687500.9296875
0.940104186534880.000657362572000000000 1973-11-210.94010418650.95052081
0.919270813465110.000635751173000000001 1973-11-230.95052081340.91927081
0.919270813465110.000635751173000000001 1973-11-260.91927081340.91927081
0.908854186534880.000638934434000000001 1973-11-270.91927081340.91927081
0.908854186534880.000646174186000000001 1973-11-280.919270813400.9296875
0.908854186534880.000638934434000000001 1973-11-290000.92968750.91927081
000000000.8906250.000619023456000000001 1973-11-300.9088541865000.890625
000000000.8593750.000597303675000000002 1973-12-0300000.890625000.859375
0.848958313465110.000590063398000000001 1973-12-0400000.8593750.84895831
0.830729186534880.000584633438000000001 1973-12-050.84895831340.84114581
0.830729186534880.000590063398000000002 1973-12-060.84114581340.84895831
000000000.8593750.000626264140000000001 1973-12-0700000.8593750.90104168
0.880208313465110.000626264140000000000 1973-12-100.90104168650.90104168
0.880208313465110.000619023456000000001 1973-12-110.9010416865000.890625
0.841145813465110.000590063398000000003 1973-12-1200000.8906250.84895831
00000000.82031250.000577393628000000001 1973-12-130.84895831340.83072918
0.799479186534880.000562913599000000002 1973-12-140.83072918650.80989581
