29.879999160766630.10000038146000000173 2013-01-1530.63999938930.1000003
29.530000686645529.85000038146000000075 2013-01-1630.20999908429.8500003
30.030000686645530.13999938964000000040 2013-01-1730.07999992330.1399993
29.270000457763629.65999984741000000049 2013-01-1830.30999946529.6599998
29.739999771118130.72999954223000000055 2013-01-22000000029.7530.7299995
30.799999237060530.81999969482000000048 2013-01-2331.10000038130.8199996
30.809999465942331.07999992370000000043 2013-01-2431.27000045731.0799999
31.129999160766631.54000091552000000054 2013-01-2531.40999984731.5400009
31.809999465942332.47000122070000000059 2013-01-2831.87999916032.4700012
30.709999084472630.79000091552000000072 2013-01-2900000000003230.7900009
30.879999160766631.23999977111000000087 2013-01-3030.97999954231.2399997
28.739999771118130.97999954223000000190 2013-01-3129.14999961830.9799995
29.629999160766629.72999954223000000085 2013-02-0131.01000022829.7299995
28.010000228881828.11000061035000000092 2013-02-0429.05999946528.1100006
28.040000915527328.63999938964000000047 2013-02-0528.26000022828.6399993
28.659999847412129.04999923706000000038 2013-02-0628.73999977129.0499992
28.270000457763628.64999961853000000034 2013-02-0729.11000061028.6499996
28.510000228881828.54999923706000000037 2013-02-0828.88999938928.5499992
28.040000915527328.26000022888000000037 2013-02-1128.61000061028.2600002
27.100000381469727.37000083923000000093 2013-02-1227.67000007627.3700008
27.309999465942327.90999984741000000050 2013-02-1327.36000061027.9099998
28.0100002288818000000000028.5000000035 2013-02-1428.02000045700000028.5
28.090000152587828.31999969482000000033 2013-02-1528.52000045728.3199996
28.120000839233428.93000030517000000049 2013-02-1928.22999954228.9300003
28.329999923706028.45999908447000000042 2013-02-2028.92000007628.4599990
27.149999618530227.28000068664000000049 2013-02-2128.28000068627.2800006
26.819999694824227.12999916076000000036 2013-02-2227.62000083927.1299991
27.149999618530227.27000045776000000034 2013-02-2527.15999984727.2700004
26.700000762939427.38999938964000000031 2013-02-2627.36000061027.3899993
26.629999160766626.87000083923000000044 2013-02-2727.34000015226.8700008
26.340000152587800000000027.25000000083 2013-02-2826.8400001520000027.25
26.809999465942327.78000068664000000054 2013-03-0127.04999923727.7800006
27.440000534057627.71999931335000000032 2013-03-0427.76000022827.7199993
27.209999084472627.52000045776000000040 2013-03-0527.87999916027.5200004
27.350000381469727.45000076293000000033 2013-03-0628.10000038127.4500007
27.469999313354428.57999992370000000074 2013-03-0727.56999969428.5799999
27.729999542236327.95999908447000000044 2013-03-0828.43000030527.9599990
27.829999923706028.13999938964000000035 2013-03-1128.01000022828.1399993
27.600000381469727.82999992370000000027 2013-03-1228.10000038127.8299999
26.920000076293927.07999992370000000039 2013-03-1327.62000083927.0799999
26.829999923706027.04000091552000000027 2013-03-1427.10000038127.0400009
26.559999465942326.64999961853000000031 2013-03-1527.03000068626.6499996
25.780000686645526.48999977111000000026 2013-03-1826.37000083926.4899997
26.209999084472626.54999923706000000025 2013-03-1926.53000068626.5499992
25.780000686645525.86000061035000000044 2013-03-2026.68000030525.8600006
25.559999465942325.73999977111000000024 2013-03-2125.65999984725.7399997
25.629999160766625.72999954223000000018 2013-03-2225.79999923725.7299995
