000000.9667968750.009445079602000000000 1962-10-3000000000000000.9921875
000000.9863281250.009389302693000000000 1962-10-310000000000000.98632812
00000000.97656250.009407892823000000000 1962-11-010000000000000.98828125
00000000000000010.009854113683000000001 1962-11-020000000000001.03515625
0000000001.031250.009854113683000000000 1962-11-050000000000001.03515625
000001.0175781250.009891310706000000000 1962-11-0700000000000001.0390625
0000001.027343750.009798346087000000000 1962-11-080000000000001.02929687
000001.0214843750.009965681470000000000 1962-11-09000000000000001.046875
00000001.05468750.010244561359000000000 1962-11-120000000000001.07617187
00000001.07031250.010263158939000000000 1962-11-13000000000000001.078125
000001.0722656250.010244561359000000000 1962-11-140000000000001.07617187
0000001.074218750.010263158939000000000 1962-11-15000000000000001.078125
0000001.066406250.010188783518000000000 1962-11-1600000000000001.0703125
00000001.05468750.010077231563000000000 1962-11-190000000000001.05859375
0000001.050781250.010095830075000000000 1962-11-200000000000001.06054687
0000001.058593750.010225979611000000000 1962-11-210000000000001.07421875
0000001.066406250.010337530635000000000 1962-11-2300000000000001.0859375
000001.0917968750.010486269369000000000 1962-11-2600000000000001.1015625
000001.1035156250.010653603821000000000 1962-11-270000000000001.11914062
00000001.11718750.010635011829000000000 1962-11-2800000000000001.1171875
00000001.10156250.010579234920000000000 1962-11-290000000000001.11132812
000001.1035156250.010560639202000000000 1962-11-30000000000000001.109375
000001.1035156250.010635011829000000000 1962-12-0300000000000001.1171875
0000001.121093750.010951087810000000000 1962-12-040000000000001.15039062
00000001.14843750.010969682596000000000 1962-12-050000000000001.15234375
0000001.144531250.010895306244000000000 1962-12-060000000000001.14453125
0000001.144531250.010988270863000000000 1962-12-070000000000001.15429687
0000001.144531250.010951087810000000000 1962-12-100000000000001.15039062
000000001.1406250.010969682596000000000 1962-12-110000000000001.15234375
000000001.1406250.010913903824000000000 1962-12-120000000000001.14648437
000000000001.1250.010746572166000000000 1962-12-130000000000001.12890625
000000000001.1250.010820943862000000000 1962-12-140000000000001.13671875
0000001.128906250.010858129709000000000 1962-12-17000000000000001.140625
000001.1113281250.010597833432000000000 1962-12-180000000000001.11328125
000000001.1093750.010746572166000000000 1962-12-190000000000001.12890625
0000001.121093750.010709386318000000000 1962-12-20000000000000000001.125
0000001.121093750.010672206059000000000 1962-12-210000000000001.12109375
0000001.097656250.010672206059000000000 1962-12-240000000000001.12109375
000000001.1093750.010635011829000000000 1962-12-2600000000000001.1171875
000001.1035156250.010560639202000000000 1962-12-27000000000000001.109375
0000001.097656250.010486269369000000000 1962-12-2800000000000001.1015625
000001.1035156250.010597833432000000000 1962-12-310000000000001.11328125
00000001.10156250.010542050004000000000 1963-01-020000000000001.10742187
000001.0996093750.010672206059000000000 1963-01-030000000000001.12109375
000000000001.1250.010895306244000000000 1963-01-040000000000001.14453125
000000001.1406250.010951087810000000000 1963-01-070000000000001.15039062
000001.1464843750.011155606247000000000 1963-01-08000000000000001.171875
000000001.1406250.010895306244000000000 1963-01-090000000000001.14453125
0000001.144531250.010895306244000000000 1963-01-100000000000001.14453125
000000001.1406250.010876719839000000000 1963-01-110000000000001.14257812
000001.1347656250.011006865650000000000 1963-01-140000000000000001.15625
0000001.136718750.010954525321000000000 1963-01-150000000000001.14453125
00000001.13281250.010898447595000000000 1963-01-160000000000001.13867187
0000001.128906250.010917141102000000000 1963-01-17000000000000001.140625
