000000004.4843750.340559244155000000000 1974-03-26000000000000004.484375
000000004.3593750.331066220998000000000 1974-03-27000000000000004.359375
000000004.1093750.312080621719000000000 1974-03-28000000000000004.109375
0000000004.093750.310893863439000000000 1974-03-290000000000000004.09375
000000004.1093750.312080621719000000000 1974-04-01000000000000004.109375
000000000004.1250.313267022371000000000 1974-04-02000000000000000004.125
000000004.1093750.312080621719000000000 1974-04-03000000000000004.109375
000000000004.1250.313267022371000000000 1974-04-04000000000000000004.125
00000000004.06250.308520704507000000000 1974-04-0500000000000000004.0625
00000000000000040.303774029016000000000 1974-04-080000000000000000000004
000000003.9843750.302587538957000000000 1974-04-09000000000000003.984375
00000000000000040.303774029016000000000 1974-04-100000000000000000000004
00000000000000040.303774029016000000000 1974-04-110000000000000000000004
000000004.0156250.304960817098000000000 1974-04-15000000000000004.015625
000000004.1718750.316826939582000000000 1974-04-16000000000000004.171875
0000000004.218750.320386797189000000000 1974-04-170000000000000004.21875
000000004.2656250.323946714401000000000 1974-04-18000000000000004.265625
0000000004.218750.320386797189000000000 1974-04-190000000000000004.21875
000000004.2031250.319200187921000000000 1974-04-22000000000000004.203125
000000004.1406250.314453721046000000000 1974-04-23000000000000004.140625
000000004.0156250.304960817098000000000 1974-04-24000000000000004.015625
0000000003.906250.296654313802000000000 1974-04-250000000000000003.90625
000000000003.8750.294281184673000000000 1974-04-26000000000000000003.875
000000003.8281250.290721327066000000000 1974-04-29000000000000003.828125
00000000003.81250.289534777402000000000 1974-04-3000000000000000003.8125
000000003.8281250.290721327066000000000 1974-05-01000000000000003.828125
000000000003.8750.294281184673000000000 1974-05-02000000000000000003.875
000000003.8906250.295467823743000000000 1974-05-03000000000000003.890625
000000000003.8750.294281184673000000000 1974-05-06000000000000000003.875
0000000000003.750.284788221120000000000 1974-05-070000000000000000003.75
000000003.6718750.278854995965000000000 1974-05-08000000000000003.671875
0000000003.656250.277668535709000000000 1974-05-090000000000000003.65625
0000000003.531250.268175601959000000000 1974-05-100000000000000003.53125
000000003.4531250.262242496013000000000 1974-05-13000000000000003.453125
000000003.5156250.266989052295000000000 1974-05-14000000000000003.515625
0000000003.656250.277668535709000000000 1974-05-150000000000000003.65625
000000003.6406250.276481896638000000000 1974-05-16000000000000003.640625
000000003.5156250.266989052295000000000 1974-05-17000000000000003.515625
000000003.5781250.271735489368000000000 1974-05-20000000000000003.578125
0000000003.656250.277668535709000000000 1974-05-210000000000000003.65625
0000000003.656250.277668535709000000000 1974-05-220000000000000003.65625
0000000003.656250.277668535709000000000 1974-05-230000000000000003.65625
000000003.3593750.255122750997000000000 1974-05-24000000000000003.359375
000000003.1718750.240883350372000000000 1974-05-28000000000000003.171875
000000003.1406250.238510206341000000000 1974-05-29000000000000003.140625
0000000003.156250.239696696400000000000 1974-05-300000000000000003.15625
